,REF_DATE,GEO,Labour_characteristics,NOC,Sex,VALUE,lat,long
26,2021-01,Canada,Labour force,Administrative and financial supervisors and administrative occupations,Females,770.9,,
27,2021-01,Canada,Labour force,"Finance, insurance and related business administrative occupations",Both sexes,289.3,,
28,2021-01,Canada,Labour force,"Finance, insurance and related business administrative occupations",Males,72.0,,
29,2021-01,Canada,Labour force,"Finance, insurance and related business administrative occupations",Females,217.3,,
30,2021-01,Canada,Labour force,Office support occupations,Both sexes,637.9,,
31,2021-01,Canada,Labour force,Office support occupations,Males,79.2,,
32,2021-01,Canada,Labour force,Office support occupations,Females,558.8,,
33,2021-01,Canada,Labour force,"Distribution, tracking and scheduling co-ordination occupations",Both sexes,294.4,,
34,2021-01,Canada,Labour force,"Distribution, tracking and scheduling co-ordination occupations",Males,176.5,,
35,2021-01,Canada,Labour force,"Distribution, tracking and scheduling co-ordination occupations",Females,117.9,,
36,2021-01,Canada,Labour force,Natural and applied sciences and related occupations,Both sexes,1708.9,,
37,2021-01,Canada,Labour force,Natural and applied sciences and related occupations,Males,1285.1,,
38,2021-01,Canada,Labour force,Natural and applied sciences and related occupations,Females,423.8,,
39,2021-01,Canada,Labour force,Professional occupations in natural and applied sciences,Both sexes,1092.1,,
40,2021-01,Canada,Labour force,Professional occupations in natural and applied sciences,Males,824.0,,
41,2021-01,Canada,Labour force,Professional occupations in natural and applied sciences,Females,268.1,,
42,2021-01,Canada,Labour force,Technical occupations related to natural and applied sciences,Both sexes,616.8,,
43,2021-01,Canada,Labour force,Technical occupations related to natural and applied sciences,Males,461.1,,
44,2021-01,Canada,Labour force,Technical occupations related to natural and applied sciences,Females,155.7,,
45,2021-01,Canada,Labour force,Health occupations,Both sexes,1489.1,,
46,2021-01,Canada,Labour force,Health occupations,Males,300.0,,
47,2021-01,Canada,Labour force,Health occupations,Females,1189.1,,
48,2021-01,Canada,Labour force,Professional occupations in nursing,Both sexes,356.2,,
49,2021-01,Canada,Labour force,Professional occupations in nursing,Males,35.1,,
50,2021-01,Canada,Labour force,Professional occupations in nursing,Females,321.0,,
51,2021-01,Canada,Labour force,Professional occupations in health (except nursing),Both sexes,344.1,,
52,2021-01,Canada,Labour force,Professional occupations in health (except nursing),Males,128.7,,
53,2021-01,Canada,Labour force,Professional occupations in health (except nursing),Females,215.5,,
54,2021-01,Canada,Labour force,Technical occupations in health,Both sexes,398.0,,
55,2021-01,Canada,Labour force,Technical occupations in health,Males,85.4,,
56,2021-01,Canada,Labour force,Technical occupations in health,Females,312.6,,
57,2021-01,Canada,Labour force,Assisting occupations in support of health services,Both sexes,390.8,,
58,2021-01,Canada,Labour force,Assisting occupations in support of health services,Males,50.8,,
59,2021-01,Canada,Labour force,Assisting occupations in support of health services,Females,340.0,,
60,2021-01,Canada,Labour force,"Occupations in education, law and social, community and government services",Both sexes,2281.0,,
61,2021-01,Canada,Labour force,"Occupations in education, law and social, community and government services",Males,730.7,,
62,2021-01,Canada,Labour force,"Occupations in education, law and social, community and government services",Females,1550.3,,
63,2021-01,Canada,Labour force,Professional occupations in education services,Both sexes,881.0,,
64,2021-01,Canada,Labour force,Professional occupations in education services,Males,287.5,,
65,2021-01,Canada,Labour force,Professional occupations in education services,Females,593.5,,
66,2021-01,Canada,Labour force,"Professional occupations in law and social, community and government services",Both sexes,567.5,,
67,2021-01,Canada,Labour force,"Professional occupations in law and social, community and government services",Males,226.3,,
68,2021-01,Canada,Labour force,"Professional occupations in law and social, community and government services",Females,341.2,,
69,2021-01,Canada,Labour force,"Paraprofessional occupations in legal, social, community and education services",Both sexes,463.3,,
70,2021-01,Canada,Labour force,"Paraprofessional occupations in legal, social, community and education services",Males,69.5,,
71,2021-01,Canada,Labour force,"Paraprofessional occupations in legal, social, community and education services",Females,393.8,,
72,2021-01,Canada,Labour force,Occupations in front-line public protection services,Both sexes,122.8,,
73,2021-01,Canada,Labour force,Occupations in front-line public protection services,Males,104.2,,
74,2021-01,Canada,Labour force,Occupations in front-line public protection services,Females,18.6,,
75,2021-01,Canada,Labour force,"Care providers and educational, legal and public protection support occupations",Both sexes,246.4,,
76,2021-01,Canada,Labour force,"Care providers and educational, legal and public protection support occupations",Males,43.3,,
77,2021-01,Canada,Labour force,"Care providers and educational, legal and public protection support occupations",Females,203.2,,
78,2021-01,Canada,Labour force,"Occupations in art, culture, recreation and sport",Both sexes,569.5,,
79,2021-01,Canada,Labour force,"Occupations in art, culture, recreation and sport",Males,272.2,,
80,2021-01,Canada,Labour force,"Occupations in art, culture, recreation and sport",Females,297.3,,
81,2021-01,Canada,Labour force,Professional occupations in art and culture,Both sexes,215.7,,
82,2021-01,Canada,Labour force,Professional occupations in art and culture,Males,104.5,,
83,2021-01,Canada,Labour force,Professional occupations in art and culture,Females,111.3,,
84,2021-01,Canada,Labour force,"Technical occupations in art, culture, recreation and sport",Both sexes,353.8,,
85,2021-01,Canada,Labour force,"Technical occupations in art, culture, recreation and sport",Males,167.7,,
86,2021-01,Canada,Labour force,"Technical occupations in art, culture, recreation and sport",Females,186.1,,
87,2021-01,Canada,Labour force,Sales and service occupations,Both sexes,4331.8,,
88,2021-01,Canada,Labour force,Sales and service occupations,Males,2007.8,,
89,2021-01,Canada,Labour force,Sales and service occupations,Females,2324.1,,
90,2021-01,Canada,Labour force,Retail sales supervisors and specialized sales occupations,Both sexes,685.0,,
91,2021-01,Canada,Labour force,Retail sales supervisors and specialized sales occupations,Males,350.1,,
92,2021-01,Canada,Labour force,Retail sales supervisors and specialized sales occupations,Females,334.9,,
93,2021-01,Canada,Labour force,Service supervisors and specialized service occupations,Both sexes,569.2,,
94,2021-01,Canada,Labour force,Service supervisors and specialized service occupations,Males,301.8,,
95,2021-01,Canada,Labour force,Service supervisors and specialized service occupations,Females,267.4,,
96,2021-01,Canada,Labour force,Sales representatives and salespersons - wholesale and retail trade,Both sexes,777.4,,
97,2021-01,Canada,Labour force,Sales representatives and salespersons - wholesale and retail trade,Males,391.1,,
98,2021-01,Canada,Labour force,Sales representatives and salespersons - wholesale and retail trade,Females,386.3,,
99,2021-01,Canada,Labour force,Service representatives and other customer and personal services occupations,Both sexes,755.7,,
100,2021-01,Canada,Labour force,Service representatives and other customer and personal services occupations,Males,276.2,,
101,2021-01,Canada,Labour force,Service representatives and other customer and personal services occupations,Females,479.5,,
102,2021-01,Canada,Labour force,Sales support occupations,Both sexes,605.7,,
103,2021-01,Canada,Labour force,Sales support occupations,Males,252.3,,
104,2021-01,Canada,Labour force,Sales support occupations,Females,353.4,,
105,2021-01,Canada,Labour force,"Service support and other service occupations, n.e.c.",Both sexes,938.8,,
106,2021-01,Canada,Labour force,"Service support and other service occupations, n.e.c.",Males,436.2,,
107,2021-01,Canada,Labour force,"Service support and other service occupations, n.e.c.",Females,502.6,,
108,2021-01,Canada,Labour force,"Trades, transport and equipment operators and related occupations",Both sexes,2836.2,,
109,2021-01,Canada,Labour force,"Trades, transport and equipment operators and related occupations",Males,2639.0,,
110,2021-01,Canada,Labour force,"Trades, transport and equipment operators and related occupations",Females,197.2,,
111,2021-01,Canada,Labour force,"Industrial, electrical and construction trades",Both sexes,946.4,,
112,2021-01,Canada,Labour force,"Industrial, electrical and construction trades",Males,906.9,,
113,2021-01,Canada,Labour force,"Industrial, electrical and construction trades",Females,39.4,,
114,2021-01,Canada,Labour force,Maintenance and equipment operation trades,Both sexes,671.1,,
115,2021-01,Canada,Labour force,Maintenance and equipment operation trades,Males,640.8,,
116,2021-01,Canada,Labour force,Maintenance and equipment operation trades,Females,30.3,,
117,2021-01,Canada,Labour force,"Other installers, repairers and servicers and material handlers",Both sexes,293.3,,
118,2021-01,Canada,Labour force,"Other installers, repairers and servicers and material handlers",Males,254.1,,
119,2021-01,Canada,Labour force,"Other installers, repairers and servicers and material handlers",Females,39.2,,
120,2021-01,Canada,Labour force,Transport and heavy equipment operation and related maintenance occupations,Both sexes,755.5,,
121,2021-01,Canada,Labour force,Transport and heavy equipment operation and related maintenance occupations,Males,680.3,,
122,2021-01,Canada,Labour force,Transport and heavy equipment operation and related maintenance occupations,Females,75.2,,
123,2021-01,Canada,Labour force,"Trades helpers, construction labourers and related occupations",Both sexes,169.9,,
124,2021-01,Canada,Labour force,"Trades helpers, construction labourers and related occupations",Males,156.9,,
125,2021-01,Canada,Labour force,"Trades helpers, construction labourers and related occupations",Females,13.0,,
126,2021-01,Canada,Labour force,"Natural resources, agriculture and related production occupations",Both sexes,347.8,,
127,2021-01,Canada,Labour force,"Natural resources, agriculture and related production occupations",Males,272.2,,
128,2021-01,Canada,Labour force,"Natural resources, agriculture and related production occupations",Females,75.6,,
129,2021-01,Canada,Labour force,"Supervisors and technical occupations in natural resources, agriculture and related production",Both sexes,146.1,,
130,2021-01,Canada,Labour force,"Supervisors and technical occupations in natural resources, agriculture and related production",Males,126.7,,
131,2021-01,Canada,Labour force,"Supervisors and technical occupations in natural resources, agriculture and related production",Females,19.4,,
132,2021-01,Canada,Labour force,"Workers in natural resources, agriculture and related production",Both sexes,115.0,,
133,2021-01,Canada,Labour force,"Workers in natural resources, agriculture and related production",Males,76.9,,
134,2021-01,Canada,Labour force,"Workers in natural resources, agriculture and related production",Females,38.1,,
135,2021-01,Canada,Labour force,"Harvesting, landscaping and natural resources labourers",Both sexes,86.7,,
136,2021-01,Canada,Labour force,"Harvesting, landscaping and natural resources labourers",Males,68.6,,
137,2021-01,Canada,Labour force,"Harvesting, landscaping and natural resources labourers",Females,18.1,,
138,2021-01,Canada,Labour force,Occupations in manufacturing and utilities,Both sexes,895.2,,
139,2021-01,Canada,Labour force,Occupations in manufacturing and utilities,Males,656.7,,
140,2021-01,Canada,Labour force,Occupations in manufacturing and utilities,Females,238.5,,
141,2021-01,Canada,Labour force,"Processing, manufacturing and utilities supervisors and central control operators",Both sexes,200.3,,
142,2021-01,Canada,Labour force,"Processing, manufacturing and utilities supervisors and central control operators",Males,173.5,,
143,2021-01,Canada,Labour force,"Processing, manufacturing and utilities supervisors and central control operators",Females,26.8,,
144,2021-01,Canada,Labour force,Processing and manufacturing machine operators and related production workers,Both sexes,355.6,,
145,2021-01,Canada,Labour force,Processing and manufacturing machine operators and related production workers,Males,235.0,,
146,2021-01,Canada,Labour force,Processing and manufacturing machine operators and related production workers,Females,120.6,,
147,2021-01,Canada,Labour force,Assemblers in manufacturing,Both sexes,195.6,,
148,2021-01,Canada,Labour force,Assemblers in manufacturing,Males,156.1,,
149,2021-01,Canada,Labour force,Assemblers in manufacturing,Females,39.4,,
150,2021-01,Canada,Labour force,"Labourers in processing, manufacturing and utilities",Both sexes,143.8,,
151,2021-01,Canada,Labour force,"Labourers in processing, manufacturing and utilities",Males,92.1,,
152,2021-01,Canada,Labour force,"Labourers in processing, manufacturing and utilities",Females,51.7,,
153,2021-01,Canada,Labour force,Unclassified occupations,Both sexes,561.3,,
154,2021-01,Canada,Labour force,Unclassified occupations,Males,287.5,,
155,2021-01,Canada,Labour force,Unclassified occupations,Females,273.8,,
156,2021-01,Canada,Full-time,Total Employment,Both sexes,14699.7,,
157,2021-01,Canada,Full-time,Total Employment,Males,8240.9,,
158,2021-01,Canada,Full-time,Total Employment,Females,6458.8,,
159,2021-01,Canada,Full-time,Management occupations,Both sexes,1500.0,,
160,2021-01,Canada,Full-time,Management occupations,Males,959.1,,
161,2021-01,Canada,Full-time,Management occupations,Females,540.9,,
162,2021-01,Canada,Full-time,Senior management occupations,Both sexes,51.1,,
163,2021-01,Canada,Full-time,Senior management occupations,Males,30.2,,
164,2021-01,Canada,Full-time,Senior management occupations,Females,21.0,,
165,2021-01,Canada,Full-time,Specialized middle management occupations -,Both sexes,567.1,,
166,2021-01,Canada,Full-time,Specialized middle management occupations -,Males,290.2,,
167,2021-01,Canada,Full-time,Specialized middle management occupations -,Females,277.0,,
168,2021-01,Canada,Full-time,Middle management occupations in retail and wholesale trade and customer services,Both sexes,418.9,,
169,2021-01,Canada,Full-time,Middle management occupations in retail and wholesale trade and customer services,Males,251.7,,
170,2021-01,Canada,Full-time,Middle management occupations in retail and wholesale trade and customer services,Females,167.2,,
171,2021-01,Canada,Full-time,"Middle management occupations in trades, transportation, production and utilities -",Both sexes,462.8,,
172,2021-01,Canada,Full-time,"Middle management occupations in trades, transportation, production and utilities -",Males,387.1,,
173,2021-01,Canada,Full-time,"Middle management occupations in trades, transportation, production and utilities -",Females,75.8,,
174,2021-01,Canada,Full-time,"Business, finance and administration occupations",Both sexes,2603.0,,
175,2021-01,Canada,Full-time,"Business, finance and administration occupations",Males,830.6,,
176,2021-01,Canada,Full-time,"Business, finance and administration occupations",Females,1772.4,,
177,2021-01,Canada,Full-time,Professional occupations in business and finance,Both sexes,822.9,,
178,2021-01,Canada,Full-time,Professional occupations in business and finance,Males,345.7,,
179,2021-01,Canada,Full-time,Professional occupations in business and finance,Females,477.2,,
180,2021-01,Canada,Full-time,Administrative and financial supervisors and administrative occupations,Both sexes,869.3,,
181,2021-01,Canada,Full-time,Administrative and financial supervisors and administrative occupations,Males,217.4,,
182,2021-01,Canada,Full-time,Administrative and financial supervisors and administrative occupations,Females,651.9,,
183,2021-01,Canada,Full-time,"Finance, insurance and related business administrative occupations",Both sexes,213.6,,
184,2021-01,Canada,Full-time,"Finance, insurance and related business administrative occupations",Males,61.2,,
185,2021-01,Canada,Full-time,"Finance, insurance and related business administrative occupations",Females,152.4,,
186,2021-01,Canada,Full-time,Office support occupations,Both sexes,464.0,,
187,2021-01,Canada,Full-time,Office support occupations,Males,64.2,,
188,2021-01,Canada,Full-time,Office support occupations,Females,399.8,,
189,2021-01,Canada,Full-time,"Distribution, tracking and scheduling co-ordination occupations",Both sexes,233.2,,
190,2021-01,Canada,Full-time,"Distribution, tracking and scheduling co-ordination occupations",Males,142.1,,
191,2021-01,Canada,Full-time,"Distribution, tracking and scheduling co-ordination occupations",Females,91.1,,
192,2021-01,Canada,Full-time,Natural and applied sciences and related occupations,Both sexes,1552.6,,
193,2021-01,Canada,Full-time,Natural and applied sciences and related occupations,Males,1171.4,,
194,2021-01,Canada,Full-time,Natural and applied sciences and related occupations,Females,381.2,,
195,2021-01,Canada,Full-time,Professional occupations in natural and applied sciences,Both sexes,1016.0,,
196,2021-01,Canada,Full-time,Professional occupations in natural and applied sciences,Males,770.3,,
197,2021-01,Canada,Full-time,Professional occupations in natural and applied sciences,Females,245.7,,
198,2021-01,Canada,Full-time,Technical occupations related to natural and applied sciences,Both sexes,536.6,,
199,2021-01,Canada,Full-time,Technical occupations related to natural and applied sciences,Males,401.1,,
200,2021-01,Canada,Full-time,Technical occupations related to natural and applied sciences,Females,135.5,,
201,2021-01,Canada,Full-time,Health occupations,Both sexes,1156.9,,
202,2021-01,Canada,Full-time,Health occupations,Males,244.9,,
203,2021-01,Canada,Full-time,Health occupations,Females,912.0,,
204,2021-01,Canada,Full-time,Professional occupations in nursing,Both sexes,286.9,,
205,2021-01,Canada,Full-time,Professional occupations in nursing,Males,31.7,,
206,2021-01,Canada,Full-time,Professional occupations in nursing,Females,255.2,,
207,2021-01,Canada,Full-time,Professional occupations in health (except nursing),Both sexes,279.3,,
208,2021-01,Canada,Full-time,Professional occupations in health (except nursing),Males,109.9,,
209,2021-01,Canada,Full-time,Professional occupations in health (except nursing),Females,169.4,,
210,2021-01,Canada,Full-time,Technical occupations in health,Both sexes,297.4,,
211,2021-01,Canada,Full-time,Technical occupations in health,Males,62.4,,
212,2021-01,Canada,Full-time,Technical occupations in health,Females,235.1,,
213,2021-01,Canada,Full-time,Assisting occupations in support of health services,Both sexes,293.3,,
214,2021-01,Canada,Full-time,Assisting occupations in support of health services,Males,40.9,,
215,2021-01,Canada,Full-time,Assisting occupations in support of health services,Females,252.4,,
216,2021-01,Canada,Full-time,"Occupations in education, law and social, community and government services",Both sexes,1769.5,,
217,2021-01,Canada,Full-time,"Occupations in education, law and social, community and government services",Males,600.7,,
218,2021-01,Canada,Full-time,"Occupations in education, law and social, community and government services",Females,1168.8,,
219,2021-01,Canada,Full-time,Professional occupations in education services,Both sexes,656.6,,
220,2021-01,Canada,Full-time,Professional occupations in education services,Males,210.0,,
221,2021-01,Canada,Full-time,Professional occupations in education services,Females,446.7,,
222,2021-01,Canada,Full-time,"Professional occupations in law and social, community and government services",Both sexes,496.7,,
223,2021-01,Canada,Full-time,"Professional occupations in law and social, community and government services",Males,207.2,,
224,2021-01,Canada,Full-time,"Professional occupations in law and social, community and government services",Females,289.5,,
225,2021-01,Canada,Full-time,"Paraprofessional occupations in legal, social, community and education services",Both sexes,330.5,,
226,2021-01,Canada,Full-time,"Paraprofessional occupations in legal, social, community and education services",Males,45.7,,
227,2021-01,Canada,Full-time,"Paraprofessional occupations in legal, social, community and education services",Females,284.9,,
228,2021-01,Canada,Full-time,Occupations in front-line public protection services,Both sexes,119.3,,
229,2021-01,Canada,Full-time,Occupations in front-line public protection services,Males,101.2,,
230,2021-01,Canada,Full-time,Occupations in front-line public protection services,Females,18.1,,
231,2021-01,Canada,Full-time,"Care providers and educational, legal and public protection support occupations",Both sexes,166.4,,
232,2021-01,Canada,Full-time,"Care providers and educational, legal and public protection support occupations",Males,36.6,,
233,2021-01,Canada,Full-time,"Care providers and educational, legal and public protection support occupations",Females,129.7,,
234,2021-01,Canada,Full-time,"Occupations in art, culture, recreation and sport",Both sexes,349.6,,
235,2021-01,Canada,Full-time,"Occupations in art, culture, recreation and sport",Males,185.9,,
236,2021-01,Canada,Full-time,"Occupations in art, culture, recreation and sport",Females,163.8,,
237,2021-01,Canada,Full-time,Professional occupations in art and culture,Both sexes,142.0,,
238,2021-01,Canada,Full-time,Professional occupations in art and culture,Males,78.0,,
239,2021-01,Canada,Full-time,Professional occupations in art and culture,Females,63.9,,
240,2021-01,Canada,Full-time,"Technical occupations in art, culture, recreation and sport",Both sexes,207.7,,
241,2021-01,Canada,Full-time,"Technical occupations in art, culture, recreation and sport",Males,107.8,,
242,2021-01,Canada,Full-time,"Technical occupations in art, culture, recreation and sport",Females,99.8,,
243,2021-01,Canada,Full-time,Sales and service occupations,Both sexes,2437.0,,
244,2021-01,Canada,Full-time,Sales and service occupations,Males,1270.5,,
245,2021-01,Canada,Full-time,Sales and service occupations,Females,1166.5,,
246,2021-01,Canada,Full-time,Retail sales supervisors and specialized sales occupations,Both sexes,584.3,,
247,2021-01,Canada,Full-time,Retail sales supervisors and specialized sales occupations,Males,307.7,,
248,2021-01,Canada,Full-time,Retail sales supervisors and specialized sales occupations,Females,276.5,,
249,2021-01,Canada,Full-time,Service supervisors and specialized service occupations,Both sexes,352.7,,
250,2021-01,Canada,Full-time,Service supervisors and specialized service occupations,Males,187.8,,
251,2021-01,Canada,Full-time,Service supervisors and specialized service occupations,Females,164.9,,
252,2021-01,Canada,Full-time,Sales representatives and salespersons - wholesale and retail trade,Both sexes,459.0,,
253,2021-01,Canada,Full-time,Sales representatives and salespersons - wholesale and retail trade,Males,282.5,,
254,2021-01,Canada,Full-time,Sales representatives and salespersons - wholesale and retail trade,Females,176.5,,
255,2021-01,Canada,Full-time,Service representatives and other customer and personal services occupations,Both sexes,438.9,,
256,2021-01,Canada,Full-time,Service representatives and other customer and personal services occupations,Males,181.9,,
257,2021-01,Canada,Full-time,Service representatives and other customer and personal services occupations,Females,257.0,,
258,2021-01,Canada,Full-time,Sales support occupations,Both sexes,186.9,,
259,2021-01,Canada,Full-time,Sales support occupations,Males,85.6,,
260,2021-01,Canada,Full-time,Sales support occupations,Females,101.4,,
261,2021-01,Canada,Full-time,"Service support and other service occupations, n.e.c.",Both sexes,415.2,,
262,2021-01,Canada,Full-time,"Service support and other service occupations, n.e.c.",Males,225.1,,
263,2021-01,Canada,Full-time,"Service support and other service occupations, n.e.c.",Females,190.2,,
264,2021-01,Canada,Full-time,"Trades, transport and equipment operators and related occupations",Both sexes,2312.6,,
265,2021-01,Canada,Full-time,"Trades, transport and equipment operators and related occupations",Males,2193.8,,
266,2021-01,Canada,Full-time,"Trades, transport and equipment operators and related occupations",Females,118.8,,
267,2021-01,Canada,Full-time,"Industrial, electrical and construction trades",Both sexes,817.6,,
268,2021-01,Canada,Full-time,"Industrial, electrical and construction trades",Males,787.2,,
269,2021-01,Canada,Full-time,"Industrial, electrical and construction trades",Females,30.4,,
270,2021-01,Canada,Full-time,Maintenance and equipment operation trades,Both sexes,608.8,,
271,2021-01,Canada,Full-time,Maintenance and equipment operation trades,Males,583.9,,
272,2021-01,Canada,Full-time,Maintenance and equipment operation trades,Females,24.9,,
273,2021-01,Canada,Full-time,"Other installers, repairers and servicers and material handlers",Both sexes,226.1,,
274,2021-01,Canada,Full-time,"Other installers, repairers and servicers and material handlers",Males,199.5,,
275,2021-01,Canada,Full-time,"Other installers, repairers and servicers and material handlers",Females,26.6,,
276,2021-01,Canada,Full-time,Transport and heavy equipment operation and related maintenance occupations,Both sexes,550.9,,
277,2021-01,Canada,Full-time,Transport and heavy equipment operation and related maintenance occupations,Males,522.1,,
278,2021-01,Canada,Full-time,Transport and heavy equipment operation and related maintenance occupations,Females,28.7,,
279,2021-01,Canada,Full-time,"Trades helpers, construction labourers and related occupations",Both sexes,109.2,,
280,2021-01,Canada,Full-time,"Trades helpers, construction labourers and related occupations",Males,101.1,,
281,2021-01,Canada,Full-time,"Trades helpers, construction labourers and related occupations",Females,8.0,,
282,2021-01,Canada,Full-time,"Natural resources, agriculture and related production occupations",Both sexes,236.9,,
283,2021-01,Canada,Full-time,"Natural resources, agriculture and related production occupations",Males,196.5,,
284,2021-01,Canada,Full-time,"Natural resources, agriculture and related production occupations",Females,40.4,,
285,2021-01,Canada,Full-time,"Supervisors and technical occupations in natural resources, agriculture and related production",Both sexes,127.6,,
286,2021-01,Canada,Full-time,"Supervisors and technical occupations in natural resources, agriculture and related production",Males,114.3,,
287,2021-01,Canada,Full-time,"Supervisors and technical occupations in natural resources, agriculture and related production",Females,13.2,,
288,2021-01,Canada,Full-time,"Workers in natural resources, agriculture and related production",Both sexes,73.5,,
289,2021-01,Canada,Full-time,"Workers in natural resources, agriculture and related production",Males,52.8,,
290,2021-01,Canada,Full-time,"Workers in natural resources, agriculture and related production",Females,20.7,,
291,2021-01,Canada,Full-time,"Harvesting, landscaping and natural resources labourers",Both sexes,35.9,,
292,2021-01,Canada,Full-time,"Harvesting, landscaping and natural resources labourers",Males,29.4,,
293,2021-01,Canada,Full-time,"Harvesting, landscaping and natural resources labourers",Females,6.5,,
294,2021-01,Canada,Full-time,Occupations in manufacturing and utilities,Both sexes,781.5,,
295,2021-01,Canada,Full-time,Occupations in manufacturing and utilities,Males,587.6,,
296,2021-01,Canada,Full-time,Occupations in manufacturing and utilities,Females,193.9,,
297,2021-01,Canada,Full-time,"Processing, manufacturing and utilities supervisors and central control operators",Both sexes,188.1,,
298,2021-01,Canada,Full-time,"Processing, manufacturing and utilities supervisors and central control operators",Males,163.6,,
299,2021-01,Canada,Full-time,"Processing, manufacturing and utilities supervisors and central control operators",Females,24.6,,
300,2021-01,Canada,Full-time,Processing and manufacturing machine operators and related production workers,Both sexes,316.5,,
301,2021-01,Canada,Full-time,Processing and manufacturing machine operators and related production workers,Males,216.2,,
302,2021-01,Canada,Full-time,Processing and manufacturing machine operators and related production workers,Females,100.3,,
303,2021-01,Canada,Full-time,Assemblers in manufacturing,Both sexes,162.3,,
304,2021-01,Canada,Full-time,Assemblers in manufacturing,Males,132.5,,
305,2021-01,Canada,Full-time,Assemblers in manufacturing,Females,29.8,,
306,2021-01,Canada,Full-time,"Labourers in processing, manufacturing and utilities",Both sexes,114.6,,
307,2021-01,Canada,Full-time,"Labourers in processing, manufacturing and utilities",Males,75.4,,
308,2021-01,Canada,Full-time,"Labourers in processing, manufacturing and utilities",Females,39.2,,
309,2021-01,Canada,Full-time,Unclassified occupations,Both sexes,,,
310,2021-01,Canada,Full-time,Unclassified occupations,Males,,,
311,2021-01,Canada,Full-time,Unclassified occupations,Females,,,
312,2021-01,Canada,Part-time,Total Employment,Both sexes,3242.6,,
313,2021-01,Canada,Part-time,Total Employment,Males,1199.5,,
314,2021-01,Canada,Part-time,Total Employment,Females,2043.2,,
315,2021-01,Canada,Part-time,Management occupations,Both sexes,150.3,,
316,2021-01,Canada,Part-time,Management occupations,Males,93.4,,
317,2021-01,Canada,Part-time,Management occupations,Females,56.9,,
318,2021-01,Canada,Part-time,Senior management occupations,Both sexes,5.4,,
319,2021-01,Canada,Part-time,Senior management occupations,Males,3.4,,
320,2021-01,Canada,Part-time,Senior management occupations,Females,2.0,,
321,2021-01,Canada,Part-time,Specialized middle management occupations -,Both sexes,16.7,,
322,2021-01,Canada,Part-time,Specialized middle management occupations -,Males,8.8,,
323,2021-01,Canada,Part-time,Specialized middle management occupations -,Females,7.9,,
324,2021-01,Canada,Part-time,Middle management occupations in retail and wholesale trade and customer services,Both sexes,74.1,,
325,2021-01,Canada,Part-time,Middle management occupations in retail and wholesale trade and customer services,Males,41.8,,
326,2021-01,Canada,Part-time,Middle management occupations in retail and wholesale trade and customer services,Females,32.3,,
327,2021-01,Canada,Part-time,"Middle management occupations in trades, transportation, production and utilities -",Both sexes,54.0,,
328,2021-01,Canada,Part-time,"Middle management occupations in trades, transportation, production and utilities -",Males,39.4,,
329,2021-01,Canada,Part-time,"Middle management occupations in trades, transportation, production and utilities -",Females,14.7,,
330,2021-01,Canada,Part-time,"Business, finance and administration occupations",Both sexes,421.7,,
331,2021-01,Canada,Part-time,"Business, finance and administration occupations",Males,89.9,,
332,2021-01,Canada,Part-time,"Business, finance and administration occupations",Females,331.8,,
333,2021-01,Canada,Part-time,Professional occupations in business and finance,Both sexes,82.2,,
